text,label
Your PayPal account will be locked in 12 hours. Verify your account immediately and confirm your identity at this link.,phishing
"Dear Customer, unusual activity on your Microsoft account. Reset your password now or it will be suspended.",phishing
Urgent wire transfer required before close of business. Purchase gift cards and send the codes. Do not discuss on Slack.,phishing
Invoice attached outstanding customs fee. Confirm your details so we can release the package. Dear Customer.,phishing
Click here to update your billing and confirm your password. Failure to act now will close the account.,phishing
Amazon order on hold. Login here with your password to avoid cancellation. Limited time.,phishing
IT support: your mailbox is full. Confirm your identity and password immediately via http://bit.ly/reset-now,phishing
Wells Fargo security alert. Unauthorized transaction. Verify your account within 24 hours.,phishing
CEO requesting urgent payment. Process this wire and buy itunes gift cards today.,phishing
DHL parcel on hold. Confirm your details or the shipment will be returned. Dear Customer.,phishing
Apple ID locked. Confirm your identity and update billing at http://apple-secure-login.tk,phishing
Netflix payment failed. Update your billing and password or the subscription ends today.,phishing
Document enclosed.enable macros to view the voicemail invoice attached.,phishing
Your package from FedEx needs a customs payment in bitcoin. Act now.,phishing
"Dear user, we detected unusual activity. Login here to keep your account.",phishing
Paypa1 security: account will be locked. Verify account immediately https://bit.ly/pp-alert,phishing
Human resources: update payroll bank details today or you will not be paid.,phishing
Crypto wallet verification required. Send bitcoin to release the funds immediately.,phishing
Bank of America: confirm your details and SSN or the account will be closed.,phishing
Helpdesk ticket: unusual sign-in. Reset your password using the attached html.,phishing
Last chance to confirm your identity for the tax refund wire transfer.,phishing
Google Drive voicemail: see attached invoice.html and enable macros.,phishing
LinkedIn: confirm your password after unusual activity or we suspend the profile.,phishing
UPS delivery failed. Pay the outstanding fee with gift cards. Dear Customer.,phishing
Adobe license expired. Confirm your details and credit card CVV immediately.,phishing
Dropbox shared a confidential file. Login here to view. Account will be locked.,phishing
WhatsApp verification OTP requested. Send the one time password to continue.,phishing
Your mailbox will be closed within 6 hours unless you verify your account now.,phishing
Supplier invoice: urgent payment to a new bank account. Do not call the office.,phishing
Security team: unauthorized login. Confirm your identity at this shortened link.,phishing
Your PayPal profile will be locked in 12 hours. Verify your profile immediately and confirm your identity at this link.,phishing
"Dear Customer, unusual activity on your Microsoft profile. Reset your password now or it will be suspended.",phishing
Urgent wire transfer required before close of business. Purchase gift cards and send the codes. Do not discuss on Slack.,phishing
Invoice attached outstanding customs fee. Confirm your details so we can release the package. Dear Customer.,phishing
Click here to update your billing and confirm your password. Failure to act now will close the profile.,phishing
Amazon order on hold. Login here with your password to avoid cancellation. Limited time.,phishing
IT support: your mailbox is full. Confirm your identity and password immediately via http://bit.ly/reset-now,phishing
Wells Fargo security alert. Unauthorized transaction. Verify your profile within 24 hours.,phishing
CEO requesting urgent payment. Process this wire and buy itunes gift cards today.,phishing
DHL parcel on hold. Confirm your details or the shipment will be returned. Dear Customer.,phishing
"A new sign-in to your GitHub account from Chrome on Windows. If this was you, no action is required.",legitimate
Your package was delivered today. Track it on the official carrier site. Thank you for shopping with us.,legitimate
Open enrolment reminder. No action required yet. Benefits questions can wait until next week.,legitimate
Meeting: product review Thursday 3pm. Calendar invite attached. See you then.,legitimate
Your monthly statement is ready in online banking. No password is requested in this email.,legitimate
GitHub: we noticed a new sign-in. Review sessions at github.com/settings/sessions.,legitimate
Thanks for your order. Receipt for invoice 18422 is available in your account.,legitimate
Project standup notes from this morning. Action items are in the tracker.,legitimate
"Password changed successfully on your account. If you did this, no further action is needed.",legitimate
Newsletter: three articles we liked this week. Unsubscribe anytime.,legitimate
Your flight is confirmed. Check-in opens 24 hours before departure.,legitimate
Welcome to the team. HR orientation is Monday. Reply if you have dietary notes.,legitimate
The pull request was merged. CI is green. Nice work.,legitimate
Reminder: library book due next Friday. Renew online if you need more time.,legitimate
Your electricity bill is available. Pay by the date on the statement.,legitimate
Concert tickets are in your wallet app. Doors at 7. Enjoy the show.,legitimate
Doctor appointment confirmed for 10:30. Arrive 10 minutes early.,legitimate
Classroom assignment posted. Submit before Friday. Let me know if you have questions.,legitimate
Backup completed successfully. 42 GB stored. No action required.,legitimate
Subscription renewed. Thank you for being a customer. Manage billing in settings.,legitimate
Conference talk accepted. Travel booking link is on the speaker portal.,legitimate
Happy birthday. The team chipped in for coffee. See you at lunch.,legitimate
Weather alert: rain this afternoon. No office closure expected.,legitimate
Your table reservation is confirmed for two at 19:00.,legitimate
Code of conduct acknowledgement received. Thank you.,legitimate
The server maintenance window finished. Services are back to normal.,legitimate
Timesheet submitted. Your manager will approve it this week.,legitimate
Welcome email: verify the address by visiting our official site when convenient.,legitimate
Family photo album shared. View when you have a moment. No rush.,legitimate
Invoice 90210 from your accountant. Payment terms net 30 as agreed.,legitimate
"A new sign-in to the GitHub account from Chrome on Windows. If this was you, no action is required.",legitimate
Your package was delivered today. Track it on the official carrier site. Thank you for shopping with us.,legitimate
Open enrolment reminder. No action required yet. Benefits questions can wait until next week.,legitimate
Meeting: product review Thursday 3pm. Calendar invite attached. See you then.,legitimate
Your monthly statement is ready in online banking. No password is requested in this email.,legitimate
GitHub: we noticed a new sign-in. Review sessions at github.com/settings/sessions.,legitimate
Thanks for the order. Receipt for invoice 18422 is available in the account.,legitimate
Project standup notes from this morning. Action items are in the tracker.,legitimate
"Password changed successfully on the account. If you did this, no further action is needed.",legitimate
Newsletter: three articles we liked this week. Unsubscribe anytime.,legitimate
